subject,session_idx,date,stage,model,WBIC,n_trials,alpha,forget,lambda,Wmf,Wmb,P
WT1,0,2019-12-20 16:00:06,4.6,hyb_p,56.966981634909516,97,0.12389581803251785,0.6191237200323904,0.447113632148471,3.9569227518328827,3.155341368065594,-0.4271229951793137
WT1,1,2019-12-21 09:33:10,4.6,hyb_p,83.60978362307668,157,0.17515527252939084,0.5654788217615015,0.4367800838853531,3.9192228661328428,3.5361645519928566,-0.30792101908233027
WT1,2,2019-12-23 09:30:55,4.6,hyb_p,116.51999455552952,215,0.154748791753928,0.5905101077017236,0.46166409586496276,3.5812692961826476,3.006511172353825,-0.6249654962617561
WT1,3,2019-12-24 09:39:26,4.6,hyb_p,106.29902613015457,207,0.1859139578473724,0.6113803381125363,0.44613409197453696,3.44853085811857,3.459360865391287,-0.24873735626711063
WT1,4,2019-12-25 09:38:22,4.6,hyb_p,126.62677383481042,247,0.19193691746715907,0.4685226539064026,0.49433488030920597,3.3811414499696273,3.0197429854109394,-0.13988490276830573
WT2,0,2019-12-18 17:03:09,4.6,hyb_p,53.959027748464585,96,0.14695814988248734,0.5385894729431031,0.44619906805286547,3.550913711467088,3.2693798546819224,-1.023364975970078
WT2,1,2019-12-19 10:20:58,4.6,hyb_p,38.27962818507633,64,0.1894095369294527,0.6166290299545241,0.47094793490756076,3.8129309300763223,3.027253882821602,-0.682963452702437
WT2,2,2019-12-19 17:05:45,4.6,hyb_p,64.37217046389898,115,0.13572644932010866,0.5235127520744071,0.4439810344917056,3.6484255090614712,3.4450100286316103,-0.6011171536140275
WT2,3,2019-12-20 10:14:50,4.6,hyb_p,58.68347017807811,104,0.21382466141989934,0.5515983258860618,0.46136612652953,3.7974182625571835,3.0999724210671062,-0.37011434211899763
WT2,4,2019-12-20 17:00:08,4.6,hyb_p,56.60432132801588,104,0.1501832455814429,0.538784565155822,0.4498170599588724,4.057239368485484,3.011498914836367,0.2748378176510122
WT2,5,2019-12-21 11:14:23,4.6,hyb_p,104.70316930750636,189,0.14496903300318179,0.6353677530846088,0.45481974321930363,4.034860858384183,2.7958253880861426,-0.20742430706962017
WT2,6,2019-12-23 11:36:56,4.6,hyb_p,140.83908627870187,271,0.15602695169733113,0.5115519450625184,0.451212888888596,3.5044963979021,3.222080742728217,-1.0671636597882737
WT2,7,2019-12-24 11:23:40,4.6,hyb_p,158.11349828576627,297,0.14597185946707011,0.6247401305354848,0.43569402023807935,3.809039238531246,3.0716653175425153,-0.37461139205400595
WT2,8,2019-12-25 11:35:03,4.6,hyb_p,107.39238415572295,203,0.16949194945054097,0.5537963197997391,0.45095409787763013,3.2884664666706245,3.1938606043678175,0.2308699182414408
WT2,9,2019-12-26 11:23:18,4.6,hyb_p,154.07899394390407,284,0.09967141251668972,0.6221225749718989,0.46145250172654323,3.8227694005112487,2.997788576628217,-0.600599808327655
WT2,10,2019-12-27 11:07:56,4.6,hyb_p,194.1448456331896,368,0.1419083959615005,0.5774117019570726,0.4554339045846519,3.260501990502959,3.2106904116600274,-0.3610029336393145
WT3,0,2019-12-19 11:09:28,4.6,hyb_p,42.103430226062954,73,0.1758672476348699,0.5693412575821423,0.46173181526520796,4.493524032293406,2.9631505543690597,0.22078867520849957
WT3,1,2019-12-19 18:00:01,4.6,hyb_p,37.012934551158615,66,0.24904192844385295,0.5481411547838413,0.4750954462799468,3.3292746325464337,3.186895533972658,-1.0730831675119572
WT3,2,2019-12-20 11:16:09,4.6,hyb_p,60.628768506359634,107,0.1325125102452599,0.49978577664980633,0.44703258704867044,4.013193539138243,3.3738256425548148,-0.3421754286778259
WT3,3,2019-12-20 18:00:01,4.6,hyb_p,84.51407143372289,159,0.1397866353976994,0.5445655320994767,0.454139268719952,4.3680863697364885,3.1352514796480513,0.31693847300673805
WT3,4,2019-12-21 13:01:59,4.6,hyb_p,77.80380332468324,146,0.1619087721528192,0.5569270496102099,0.45927726851529765,4.295603059518416,3.1018960039262105,0.046259129587126864
WT3,5,2019-12-23 13:21:20,4.6,hyb_p,55.453196023824205,99,0.19483020259499914,0.527782015276019,0.4716145209824702,3.393064769945731,2.979829899692778,0.385480546173008
WT3,6,2019-12-24 13:07:02,4.6,hyb_p,84.24110874601719,154,0.15355010741350794,0.5896468668960314,0.44134497496753394,3.5618999450925997,3.312434533736122,-0.10549698947705799
WT3,7,2019-12-25 13:14:17,4.6,hyb_p,136.91091787549857,256,0.16106985475803912,0.5561770216447409,0.4518517487067507,3.2604394005403754,3.195485578209439,-0.7078633352281851
WT3,8,2019-12-26 13:18:41,4.6,hyb_p,96.85633765110856,182,0.2167406453090754,0.5934732875249358,0.4708755944252568,3.4658650978924745,3.073283538611738,-0.41712993568869877
WT3,9,2019-12-27 13:18:05,4.6,hyb_p,149.5280845647186,279,0.13344701862701358,0.5946081032205778,0.4244902787051596,3.282807571607504,3.4693424148518988,-0.005181415452868028
WT3,10,2019-12-28 13:12:36,4.6,hyb_p,155.41854569475768,309,0.18618602556839056,0.5968070279351452,0.4676849650829343,3.6743069241442647,3.211137751960146,0.26775404724563934
WT4,0,2020-03-14 16:00:01,4.6,hyb_p,67.36054938547048,123,0.19696410953458093,0.5850559723386921,0.45203663073959366,3.501039656706645,3.2783119690270124,-0.17445364246963915
WT4,1,2020-03-16 09:31:49,4.6,hyb_p,73.78097308890497,131,0.15223182560551704,0.6320106458024617,0.4476200113838152,3.6224187116273723,3.2423329864138024,-0.683157992359186
WT4,2,2020-03-17 09:32:52,4.6,hyb_p,90.53289126833434,184,0.11015603381764297,0.4020240507041493,0.47324979598730194,4.74885661418274,3.2671835251123036,-0.08830629730535165
WT4,3,2020-03-18 09:06:51,4.6,hyb_p,94.13649281385545,179,0.10381566955674958,0.5802636362565557,0.4804455141714839,4.527531011944907,2.885206945619649,0.8144266087565419
WT4,4,2020-03-19 09:01:39,4.6,hyb_p,144.57878855759697,281,0.13239908084550994,0.5016128706721112,0.44577227064873154,4.06923460576102,3.2647162871189903,0.11336329836494041
WT4,5,2020-03-20 09:29:03,4.6,hyb_p,165.97826620219763,321,0.11535637948925427,0.454278970893268,0.46321693109571443,4.09159027881759,3.018106412896087,0.20622275976315016
WT5,0,2020-03-14 17:00:26,4.6,hyb_p,65.38141454048153,121,0.14359691540074024,0.5966137543178589,0.4366526290071805,3.512887214108802,3.428911467040984,-1.2256326180035395
WT5,1,2020-03-16 11:08:06,4.6,hyb_p,65.1116969746539,146,0.1251250315140039,0.4350691793259894,0.5002445167770714,6.738583576226018,2.9667040620581138,1.3005394246933475
WT5,2,2020-03-17 11:10:20,4.6,hyb_p,95.78181719975333,179,0.1480085223228393,0.5892906443101326,0.47042671160566346,4.179647216721031,2.9651010717060364,-0.3298398570686614
WT5,3,2020-03-18 11:05:06,4.6,hyb_p,34.833709397614584,70,0.19647622675080506,0.580753293306412,0.46560990543030367,4.044983916195189,3.417332729445372,1.69350236112971
WT5,4,2020-03-19 11:05:09,4.6,hyb_p,96.94022997558292,178,0.09908811194931727,0.5878232625897738,0.4723594232663421,4.368406260636478,3.03871956926624,0.461730698667517
WT5,5,2020-03-20 11:21:48,4.6,hyb_p,115.62308340963595,224,0.10302750323693807,0.46532815281842754,0.4451846392219699,3.829744728926661,3.331311419884703,0.4179328183743027
WT5,6,2020-03-21 11:17:38,4.6,hyb_p,96.17700267522196,182,0.12331522430886098,0.4254929909764841,0.443693732362451,3.8816091677718187,3.5225960775097107,-0.5621147963211055
WT5,7,2020-03-23 10:56:03,4.6,hyb_p,71.22434571674792,146,0.1256093494454582,0.4672063071371257,0.4570196600742006,5.042678945616961,3.6301649255998107,-0.46440571960735527
WT5,8,2020-03-24 11:17:48,4.6,hyb_p,153.2983087812327,289,0.18188917082453596,0.5312912869139383,0.4837985639310076,3.407901431049417,2.9601690539176473,-0.4338992073560851
WT6,0,2020-03-20 13:00:34,4.6,hyb_p,117.67400861079551,227,0.13446151549775326,0.5306606950914067,0.46597818257660273,3.846433341133701,3.2346418795602916,0.3853450881305138
WT6,1,2020-03-21 12:53:00,4.6,hyb_p,133.66608913339775,301,0.18863256110138696,0.47884014543014003,0.462423091584433,3.7519257000744686,3.252084938236319,0.9242896593543416
