stage,subject,session_idx,date,better_rate,n_fc
4.6,WT1,0,2019-12-20 16:00:06,0.3150684931506849,73
4.6,WT1,1,2019-12-21 09:33:10,0.46153846153846156,117
4.6,WT1,2,2019-12-23 09:30:55,0.5126050420168067,119
4.6,WT1,3,2019-12-24 09:39:26,0.5985401459854015,137
4.6,WT1,4,2019-12-25 09:38:22,0.6666666666666666,144
4.6,WT2,0,2019-12-18 17:03:09,0.4788732394366197,71
4.6,WT2,1,2019-12-19 10:20:58,0.375,48
4.6,WT2,2,2019-12-19 17:05:45,0.4482758620689655,87
4.6,WT2,3,2019-12-20 10:14:50,0.47435897435897434,78
4.6,WT2,4,2019-12-20 17:00:08,0.4230769230769231,78
4.6,WT2,5,2019-12-21 11:14:23,0.375886524822695,141
4.6,WT2,6,2019-12-23 11:36:56,0.5752688172043011,186
4.6,WT2,7,2019-12-24 11:23:40,0.5406698564593302,209
4.6,WT2,8,2019-12-25 11:35:03,0.5671641791044776,134
4.6,WT2,9,2019-12-26 11:23:18,0.46153846153846156,195
4.6,WT2,10,2019-12-27 11:07:56,0.562015503875969,258
4.6,WT3,0,2019-12-19 11:09:28,0.2909090909090909,55
4.6,WT3,1,2019-12-19 18:00:01,0.5510204081632653,49
4.6,WT3,2,2019-12-20 11:16:09,0.4067796610169492,59
4.6,WT3,3,2019-12-20 18:00:01,0.4117647058823529,119
4.6,WT3,4,2019-12-21 13:01:59,0.39325842696629215,89
4.6,WT3,5,2019-12-23 13:21:20,0.5357142857142857,56
4.6,WT3,6,2019-12-24 13:07:02,0.5208333333333334,96
4.6,WT3,7,2019-12-25 13:14:17,0.5612903225806452,155
4.6,WT3,8,2019-12-26 13:18:41,0.6083333333333333,120
4.6,WT3,9,2019-12-27 13:18:05,0.49214659685863876,191
4.6,WT3,10,2019-12-28 13:12:36,0.5421052631578948,190
4.6,WT4,0,2020-03-14 16:00:01,0.45652173913043476,92
4.6,WT4,1,2020-03-16 09:31:49,0.42857142857142855,98
4.6,WT4,2,2020-03-17 09:32:52,0.4482758620689655,116
4.6,WT4,3,2020-03-18 09:06:51,0.23134328358208955,134
4.6,WT4,4,2020-03-19 09:01:39,0.544973544973545,189
4.6,WT4,5,2020-03-20 09:29:03,0.5414634146341464,205
4.6,WT5,0,2020-03-14 17:00:26,0.4945054945054945,91
4.6,WT5,1,2020-03-16 11:08:06,0.09090909090909091,110
4.6,WT5,2,2020-03-17 11:10:20,0.5130434782608696,115
4.6,WT5,3,2020-03-18 11:05:06,0.1346153846153846,52
4.6,WT5,4,2020-03-19 11:05:09,0.24060150375939848,133
4.6,WT5,5,2020-03-20 11:21:48,0.46206896551724136,145
4.6,WT5,6,2020-03-21 11:17:38,0.5603448275862069,116
4.6,WT5,7,2020-03-23 10:56:03,0.43119266055045874,109
4.6,WT5,8,2020-03-24 11:17:48,0.5681818181818182,176
4.6,WT6,0,2020-03-20 13:00:34,0.5,146
4.6,WT6,1,2020-03-21 12:53:00,0.6179775280898876,178
4.7,WT1,0,2019-12-26 09:42:54,0.5771812080536913,149
4.7,WT1,1,2019-12-27 09:25:53,0.5038759689922481,129
4.7,WT1,2,2019-12-28 09:37:17,0.375,168
4.7,WT1,3,2019-12-30 09:23:18,0.5396825396825397,126
4.7,WT1,4,2019-12-31 09:49:32,0.5580110497237569,181
4.7,WT1,5,2020-01-01 09:02:33,0.6559139784946236,186
4.7,WT1,6,2020-01-02 09:19:31,0.5276381909547738,199
4.7,WT1,7,2020-01-03 09:14:07,0.580110497237569,181
4.7,WT1,8,2020-01-04 09:15:57,0.6620370370370371,216
4.7,WT1,9,2020-01-06 09:09:05,0.7718120805369127,149
4.7,WT2,0,2019-12-28 11:25:17,0.5339366515837104,221
4.7,WT2,1,2019-12-30 11:12:59,0.6380090497737556,221
4.7,WT3,0,2019-12-30 13:00:32,0.5507246376811594,138
4.7,WT3,1,2019-12-31 13:21:37,0.5672514619883041,171
4.7,WT3,2,2020-01-01 13:07:32,0.6233183856502242,223
4.7,WT4,0,2020-03-21 09:12:39,0.5317919075144508,173
4.7,WT4,1,2020-03-23 09:08:59,0.5209580838323353,167
4.7,WT4,2,2020-03-24 09:27:54,0.4185022026431718,227
4.7,WT4,3,2020-03-25 09:18:00,0.5168539325842697,267
4.7,WT4,4,2020-03-26 09:24:39,0.5384615384615384,169
4.7,WT4,5,2020-03-27 09:30:39,0.6192893401015228,197
4.7,WT4,6,2020-03-28 09:25:59,0.5669291338582677,254
4.7,WT4,7,2020-03-30 09:26:19,0.5583333333333333,240
4.7,WT5,0,2020-03-25 11:07:28,0.5879629629629629,216
4.7,WT5,1,2020-03-26 11:01:42,0.6095890410958904,146
4.7,WT5,2,2020-03-27 11:05:55,0.5738396624472574,237
4.7,WT5,3,2020-03-28 11:04:07,0.6910112359550562,178
4.7,WT5,4,2020-03-30 11:18:27,0.4591194968553459,159
4.7,WT6,0,2020-03-23 13:01:34,0.4911242603550296,169
4.7,WT6,1,2020-03-24 13:16:58,0.6066350710900474,211
4.7,WT6,2,2020-03-25 13:00:23,0.6431924882629108,213
4.7,WT6,3,2020-03-26 13:00:01,0.6062992125984252,254
4.7,WT6,4,2020-03-27 13:04:11,0.6818181818181818,198
4.7,WT6,5,2020-03-28 12:56:13,0.6405228758169934,153
4.7,WT6,6,2020-03-30 13:17:51,0.6125,240
4.8,WT1,0,2020-01-07 09:13:51,0.650887573964497,169
4.8,WT1,1,2020-01-08 09:12:32,0.616822429906542,214
4.8,WT1,2,2020-01-09 09:08:36,0.6666666666666666,222
4.8,WT1,3,2020-01-10 09:23:07,0.6534090909090909,176
4.8,WT1,4,2020-01-11 09:11:53,0.7160493827160493,162
4.8,WT1,5,2020-01-13 09:25:05,0.6403940886699507,203
4.8,WT1,6,2020-01-14 09:00:32,0.6839622641509434,212
4.8,WT1,7,2020-01-15 08:54:56,0.6590909090909091,176
4.8,WT1,8,2020-01-16 09:07:00,0.7441860465116279,172
4.8,WT1,9,2020-01-17 09:29:45,0.76,175
4.8,WT1,10,2020-01-18 09:17:25,0.4853801169590643,171
4.8,WT2,0,2019-12-31 11:32:14,0.6291079812206573,213
4.8,WT2,1,2020-01-01 11:00:00,0.6578947368421053,228
4.8,WT2,2,2020-01-02 11:00:01,0.6042553191489362,235
4.8,WT2,3,2020-01-03 11:00:04,0.5882352941176471,221
4.8,WT2,4,2020-01-04 11:00:02,0.6880733944954128,218
4.8,WT2,5,2020-01-06 11:00:01,0.5934579439252337,214
4.8,WT2,6,2020-01-07 11:01:05,0.6539923954372624,263
4.8,WT2,7,2020-01-08 11:00:07,0.6695652173913044,230
4.8,WT2,8,2020-01-09 11:00:01,0.6129032258064516,279
4.8,WT2,9,2020-01-10 11:08:45,0.6802030456852792,197
4.8,WT2,10,2020-01-11 11:00:07,0.611336032388664,247
4.8,WT2,11,2020-01-13 11:04:47,0.6859903381642513,207
4.8,WT2,12,2020-01-14 11:00:03,0.7196969696969697,264
4.8,WT2,13,2020-01-15 10:51:12,0.7165991902834008,247
4.8,WT2,14,2020-01-16 10:48:53,0.7149122807017544,228
4.8,WT2,15,2020-01-17 11:07:02,0.6188679245283019,265
4.8,WT2,16,2020-01-18 11:00:01,0.7121951219512195,205
4.8,WT3,0,2020-01-02 13:00:09,0.6146341463414634,205
4.8,WT3,1,2020-01-03 13:00:02,0.53125,224
4.8,WT3,2,2020-01-04 13:00:01,0.5956521739130435,230
4.8,WT3,3,2020-01-07 13:00:09,0.6228070175438597,228
4.8,WT3,4,2020-01-08 14:07:07,0.5280898876404494,267
4.8,WT3,5,2020-01-09 13:08:29,0.6609442060085837,233
4.8,WT3,6,2020-01-10 13:10:02,0.6974358974358974,195
4.8,WT3,7,2020-01-11 13:00:00,0.6818181818181818,220
4.8,WT3,8,2020-01-13 13:00:15,0.6329787234042553,188
4.8,WT3,9,2020-01-14 13:08:00,0.6,205
4.8,WT3,10,2020-01-15 12:43:34,0.6072874493927125,247
4.8,WT3,11,2020-01-16 12:45:33,0.6753246753246753,231
4.8,WT3,12,2020-01-17 12:56:59,0.7040358744394619,223
4.8,WT3,13,2020-01-18 12:57:33,0.5885167464114832,209
4.8,WT4,0,2020-03-31 09:17:00,0.639269406392694,219
4.8,WT4,1,2020-04-01 09:06:23,0.5202702702702703,296
4.8,WT4,2,2020-04-02 09:36:56,0.6584507042253521,284
4.8,WT4,3,2020-04-03 09:10:40,0.7747747747747747,222
4.8,WT4,4,2020-04-04 09:21:12,0.6282527881040892,269
4.8,WT4,5,2020-04-06 09:20:56,0.70995670995671,231
4.8,WT4,6,2020-04-07 09:08:29,0.7272727272727273,242
4.8,WT4,7,2020-04-08 09:10:22,0.5748031496062992,254
4.8,WT4,8,2020-04-10 09:06:58,0.6371681415929203,226
4.8,WT4,9,2020-04-11 09:09:52,0.6426116838487973,291
4.8,WT4,10,2020-04-13 09:07:22,0.6923076923076923,208
4.8,WT4,11,2020-04-14 09:10:43,0.7611940298507462,268
4.8,WT4,12,2020-04-15 08:58:47,0.7396694214876033,242
4.8,WT4,13,2020-04-16 09:00:43,0.7163636363636363,275
4.8,WT4,14,2020-04-17 09:20:26,0.7130801687763713,237
4.8,WT5,0,2020-03-31 10:54:09,0.6584158415841584,202
4.8,WT5,1,2020-04-01 10:50:07,0.6256684491978609,187
4.8,WT5,2,2020-04-02 11:13:52,0.6470588235294118,238
4.8,WT5,3,2020-04-03 11:00:55,0.6263736263736264,182
4.8,WT5,4,2020-04-04 11:00:06,0.6261682242990654,214
4.8,WT5,5,2020-04-06 11:00:00,0.625,224
4.8,WT5,6,2020-04-07 10:58:14,0.5903614457831325,249
4.8,WT5,7,2020-04-08 11:00:01,0.6125,240
4.8,WT5,8,2020-04-09 11:02:54,0.6,230
4.8,WT5,9,2020-04-10 11:00:11,0.6333333333333333,240
4.8,WT5,10,2020-04-11 11:06:05,0.6575875486381323,257
4.8,WT5,11,2020-04-13 11:00:00,0.5916230366492147,191
4.8,WT5,12,2020-04-14 11:07:08,0.6620370370370371,216
4.8,WT5,13,2020-04-15 11:00:01,0.6328125,256
4.8,WT5,14,2020-04-16 11:02:50,0.6536964980544747,257
4.8,WT5,15,2020-04-17 10:57:03,0.7280701754385965,114
4.8,WT6,0,2020-03-31 13:10:13,0.7081339712918661,209
4.8,WT6,1,2020-04-01 13:00:46,0.6047619047619047,210
4.8,WT6,2,2020-04-02 12:55:01,0.6509433962264151,212
4.8,WT6,3,2020-04-03 13:09:48,0.576036866359447,217
4.8,WT6,4,2020-04-04 13:08:37,0.6275303643724697,247
4.8,WT6,5,2020-04-06 13:17:03,0.7154471544715447,246
4.8,WT6,6,2020-04-07 13:18:33,0.5609756097560976,246
4.8,WT6,7,2020-04-08 13:08:31,0.6639004149377593,241
4.8,WT6,8,2020-04-09 13:05:38,0.7021276595744681,235
4.8,WT6,9,2020-04-10 13:03:43,0.5714285714285714,259
4.8,WT6,10,2020-04-11 13:06:45,0.7432432432432432,222
4.8,WT6,11,2020-04-13 13:13:41,0.7191011235955056,178
4.8,WT6,12,2020-04-14 13:08:47,0.6883116883116883,231
4.8,WT6,13,2020-04-15 13:07:31,0.6592920353982301,226
4.8,WT6,14,2020-04-16 13:28:36,0.7051282051282052,156
4.8,WT6,15,2020-04-17 13:37:22,0.6727272727272727,220
